iter	Passed	Remaining
399	46784	46784
400	46889	46655
401	46972	46505
402	47072	46371
403	47166	46232
404	47262	46095
405	47363	45963
406	47479	45846
407	47596	45730
408	47702	45603
409	47803	45472
410	47933	45367
411	48029	45231
412	48136	45105
413	48235	44972
414	48331	44838
415	48446	44720
416	48540	44582
417	48642	44453
418	48749	44328
419	48849	44197
420	48950	44067
421	49052	43937
422	49151	43806
423	49261	43684
424	49357	43550
425	49473	43434
426	49574	43304
427	49670	43171
428	49792	43060
429	49889	42927
430	49975	42786
431	50075	42656
432	50176	42528
433	50289	42410
434	50393	42283
435	50514	42172
436	50641	42065
437	50740	41936
438	50852	41817
439	50941	41679
440	51050	41557
441	51171	41446
442	51282	41327
443	51388	41203
444	51504	41087
445	51634	40983
446	51766	40880
447	51892	40772
448	52004	40653
449	52118	40536
450	52222	40411
451	52319	40281
452	52419	40153
453	52509	40017
454	52607	39889
455	52730	39778
456	52835	39655
457	52928	39523
458	53096	39446
459	53217	39334
460	53315	39206
461	53412	39076
462	53533	38964
463	53637	38841
464	53755	38726
465	53854	38599
466	53946	38467
467	54060	38350
468	54163	38226
469	54269	38104
470	54387	37990
471	54480	37859
472	54595	37743
473	54687	37611
474	54792	37489
475	54901	37370
476	54989	37236
477	55102	37119
478	55195	36989
479	55295	36863
480	55446	36772
481	55546	36646
482	55648	36522
483	55736	36390
484	55832	36262
485	55931	36136
486	56035	36014
487	56136	35890
488	56231	35762
489	56317	35629
490	56405	35497
491	56506	35373
492	56607	35250
493	56729	35139
494	56818	35009
495	56916	34884
496	57016	34760
497	57105	34630
498	57379	34611
499	57562	34537
500	57678	34422
501	57791	34306
502	57876	34173
503	57965	34043
504	58075	33925
505	58166	33796
506	58246	33661
507	58342	33535
508	58438	33409
509	58533	33283
510	58617	33151
511	58704	33021
512	58841	32918
513	58944	32798
514	59026	32665
515	59128	32543
516	59208	32409
517	59288	32276
518	59382	32151
519	59463	32019
520	59549	31889
521	59658	31772
522	59745	31643
523	59827	31512
524	59920	31386
525	60004	31257
526	60090	31128
527	60194	31009
528	60309	30895
529	60538	30840
530	60664	30731
531	60780	30618
532	60891	30503
533	61010	30391
534	61119	30274
535	61240	30163
536	61359	30051
537	61495	29947
538	61613	29835
539	61780	29746
540	61887	29628
541	61998	29511
542	62120	29401
543	62244	29291
544	62362	29178
545	62453	29053
546	62551	28931
547	62659	28814
