iter	MAE
253	675757.3141
254	675348.4237
255	674588.5631
256	674126.9271
257	673498.5343
258	672865.3211
259	672633.7477
260	672414.7098
261	671907.8815
262	671676.1301
263	671428.4293
264	670597.6537
265	670137.9059
266	669906.297
267	668892.7461
268	668402.7669
269	668206.617
270	667905.2747
271	667218.8649
272	666637.2168
273	666167.9272
274	665655.4855
275	665298.931
276	665104.4809
277	664349.0954
278	663671.2508
279	663245.6417
280	662566.8997
281	662123.9365
282	661720.2636
283	661504.5276
284	661220.8152
285	660913.4028
286	660509.4954
287	660182.4582
288	659847.724
289	659497.7824
290	659118.9042
291	658547.9266
292	658026.4483
293	657673.5765
294	657210.7261
295	656996.234
296	656638.5055
297	656184.3538
298	655815.8237
299	655554.8805
300	655122.4251
301	654813.9862
302	654633.7755
303	654333.7554
304	653950.5664
305	653466.093
306	652894.0377
307	652658.0715
308	652313.951
309	652085.2655
310	651834.1864
311	651682.9484
312	651425.2728
313	651048.5619
314	650510.3207
315	650132.1239
316	649854.5822
317	649758.6614
318	649250.3387
319	648591.2538
320	648039.0889
321	647780.1653
322	647376.9085
323	647005.6313
324	646778.3152
325	646331.4666
326	646109.2616
327	645441.6214
328	645314.4269
329	645069.7739
330	644895.1561
331	644481.7582
332	644213.5823
333	643788.5812
334	643566.0546
335	643135.8126
336	642852.844
337	642539.0463
338	642379.3002
339	642231.242
340	641632.7565
341	641309.015
342	641079.3577
343	640793.2808
344	640358.6735
345	639976.7325
346	639723.8466
347	639522.5383
348	639177.5184
349	638484.2394
350	638305.3844
351	637997.9866
352	637700.9442
353	637278.5379
354	637141.0498
355	636932.678
356	636744.078
357	636240.4765
358	635775.875
359	635092.4281
360	634703.9114
361	634354.5893
362	633706.6499
363	633581.8237
364	633110.3882
365	632922.7839
366	632691.6301
367	632353.5519
368	631912.3155
369	631632.3731
370	631226.4573
371	630892.5416
372	630545.7345
373	630247.878
374	629734.7392
375	629438.2671
376	628912.6071
377	628696.5174
378	628518.1221
379	628145.3922
380	627996.9544
381	627791.617
382	627513.0349
383	627054.63
384	626904.0296
385	626769.6768
386	626516.0542
387	626192.7673
388	626092.384
389	625817.7644
390	625516.5402
391	625406.3941
392	625263.0961
393	624863.3938
394	624715.4057
395	624058.6921
396	623833.5071
397	623600.996
398	623313.583
399	622906.7673
400	622758.4185
401	622402.3004
402	622068.6565
403	621693.0978
404	621347.5308
405	621003.7959
406	620515.4559
407	620322.0823
408	620181.2177
409	619690.6724
410	619599.3085
411	619457.1785
412	619168.1967
413	618937.8618
414	618458.7147
415	618107.5507
416	617977.7731
417	617655.8434
418	617439.2164
419	617121.8879
420	616954.8844
421	616863.3336
422	616433.9562
423	616273.5625
424	616079.216
425	615907.2382
426	615551.3354
427	615361.9794
428	615225.2104
429	615035.3823
430	614751.1282
431	614402.8043
432	614163.1112
433	613961.592
434	613420.7115
435	613178.2596
436	613017.9225
437	612782.1429
438	612619.6522
439	612189.3965
440	612083.171
441	611906.4177
442	611593.0071
443	611462.9456
444	611266.2546
445	611155.6673
446	610850.025
447	610635.8457
448	610431.0751
449	610274.3391
450	610188.2647
451	610011.9935
452	609654.6824
453	609501.9627
454	609324.7227
455	609237.7731
456	609066.4318
457	608739.8073
458	608578.4686
459	608090.0268
460	607972.5733
461	607742.4241
462	607351.7657
463	607096.7034
464	606510.5519
465	606330.091
466	606094.0375
467	605865.1433
468	605657.5006
469	605495.9045
470	605223.8604
471	605040.6486
472	604763.6496
473	604637.9182
474	604482.1383
475	604145.4583
476	603843.0646
477	603614.0746
478	603090.583
479	602897.3997
480	602778.5355
481	602599.5677
482	602352.287
483	602049.1081
484	601829.062
485	601613.0347
486	601171.9008
487	600904.4827
488	600783.5513
489	600673.7843
490	600376.4646
491	600037.4275
492	599753.661
493	599586.8598
494	599135.9419
495	599036.1322
496	598954.019
497	598497.4981
498	598348.8548
499	598050.5509
500	597726.1408
501	597527.6232
502	597373.4611
503	596798.2833
504	596679.7098
505	596529.2176
506	596469.9565
507	596127.0636
508	595933.0903
509	595606.4618
510	595251.2702
511	595067.45
512	594956.254
513	594732.326
514	594608.4175
515	594477.1063
516	593991.4414
517	593792.3076
518	593614.2071
519	593216.6333
520	593112.3487
521	592996.4302
522	592754.8431
523	592585.9
524	592282.9732
525	592008.0281
526	591570.5137
527	591316.5989
528	590963.9085
529	590841.7566
530	590692.4501
531	590500.778
532	590347.5368
533	590130.8254
534	589818.8467
535	589617.8815
536	589522.7717
537	589343.8891
538	588957.9062
539	588809.2996
540	588682.5929
541	588523.2861
542	588175.4311
543	587733.3997
544	587356.6831
545	586845.8519
546	586682.2754
547	586434.5254
548	586247.4623
549	586170.5774
550	585862.0076
551	585709.0804
552	585647.756
553	585396.3201
554	585122.8113
555	584974.4494
556	584788.0493
557	584703.5759
558	584358.9264
559	584230.6988
560	584123.8545
561	583964.1498
562	583763.9114
563	583666.7121
564	583548.8476
565	583441.5603
566	583160.5745
567	583006.7159
568	582616.7989
569	582325.9031
570	582193.6067
571	581885.1238
572	581792.6969
573	581522.6225
574	581400.1636
575	581261.3368
576	581101.4948
577	581000.1341
578	580844.3629
579	580697.8994
580	580385.164
581	580111.1233
582	580022.4295
583	579903.3687
584	579738.6134
585	579499.8686
586	579414.0143
587	579250.5197
588	578933.2966
589	578807.5255
590	578456.0244
591	578305.0774
592	578139.3464
593	577992.0306
594	577868.1756
595	577716.9712
596	577577.8184
597	577493.0214
598	577314.637
599	577133.2483
600	576946.8738
601	576859.9886
602	576685.0396
603	576412.7215
604	576313.3028
605	576198.5749
606	576100.1295
607	576007.7991
608	575830.6856
609	575726.7904
610	575600.3207
611	575268.1285
612	575063.4156
613	574989.0568
614	574766.7243
615	574614.5966
616	574506.1873
617	574350.8572
618	574214.227
619	573934.3388
620	573823.4475
621	573640.6138
622	573508.0401
623	573304.1815
624	573034.5276
625	572924.8967
626	572575.1899
627	572495.5426
628	572177.9675
629	572099.1497
630	572034.337
631	571917.2549
632	571789.9353
633	571400.5878
634	571264.1785
635	570954.5828
636	570677.8176
637	570409.945
638	570256.1646
639	570198.4632
640	570155.7916
641	569932.5032
642	569694.863
643	569500.7419
644	569166.3054
645	568999.5739
646	568890.1971
647	568778.6366
648	568549.1236
649	568449.6895
650	568253.2906
651	568122.4993
652	567737.3626
653	567600.8433
654	567361.9796
655	567178.1388
656	567082.551
657	566996.9096
658	566848.4439
659	566697.1849
660	566578.8364
661	566479.2165
662	566378.6389
663	566277.9121
664	566163.8172
665	565929.5184
666	565603.6911
667	565481.6529
668	565315.1503
669	565230.3467
670	565014.972
671	564919.1507
672	564802.6311
673	564605.5128
674	564426.3927
675	564248.1856
676	564177.4179
677	564038.4456
678	563898.122
679	563758.9988
680	563609.4945
681	563451.511
682	563372.7082
683	563286.1859
684	563173.9498
685	563039.7725
686	562833.1083
687	562668.3096
688	562420.3006
689	562304.645
690	562192.0731
691	561853.9225
692	561724.4963
693	561540.1789
694	561380.08
695	561309.4034
696	561217.5824
697	561147.8072
698	560983.9779
699	560840.1267
700	560730.8022
701	560577.593
702	560463.7591
703	560412.9415
704	560290.5038
705	560143.6051
706	559926.6632
707	559541.715
708	559406.5775
709	559049.2879
710	558993.6185
711	558867.0203
712	558730.0064
713	558581.1595
714	558463.1736
715	558379.4705
716	558188.7845
717	558057.9292
718	557885.1837
719	557674.3729
720	557609.4342
721	557311.5381
722	557176.3286
723	557058.9132
724	556950.5322
725	556887.8714
726	556694.9281
727	556481.9329
728	556126.4869
729	556030.1517
730	555891.7305
731	555764.4808
732	555694.7335
733	555487.233
734	555370.6817
735	555261.4156
736	555069.4865
737	554877.9056
738	554660.3743
739	554370.0451
740	554275.0854
741	554221.9075
742	554121.5781
743	554040.0057
744	553929.6514
745	553821.952
746	553666.7543
747	553556.3766
748	553476.9825
749	553383.8408
750	553207.4656
751	553006.6072
752	552873.667
753	552754.888
754	552640.2978
755	552561.815
756	552383.9397
757	552208.2911
758	552038.9245
759	551958.1372
760	551715.1315
761	551618.6842
762	551526.3637
763	551424.3966
764	551303.7427
765	551154.1313
766	550955.967
767	550863.9085
768	550775.8968
769	550516.6597
770	550267.8326
771	550027.7368
772	549941.5668
773	549809.5532
774	549614.0678
775	549425.4783
776	549335.7515
777	549249.7911
778	549063.102
779	548867.3719
780	548716.2317
781	548642.4366
782	548497.8441
783	548388.7746
784	548319.7269
785	548227.9603
786	548083.8943
787	547988.1902
788	547934.1911
789	547600.6179
790	547377.3916
791	547254.7381
792	547192.0152
793	547113.2624
794	547037.858
795	546930.9736
796	546772.235
797	546707.2043
798	546572.3846
799	546378.7423
800	546303.4179
801	546254.6817
802	546129.7342
803	546034.1971
804	545654.3155
805	545566.3722
806	545408.1771
807	545240.8096
808	545172.1774
809	545027.1512
810	544869.5847
811	544699.3091
812	544535.1172
813	544409.6384
814	544260.6723
815	544166.1631
816	544087.778
817	543997.8535
818	543830.4536
819	543763.5055
820	543658.9797
821	543549.0419
822	543326.5245
823	543280.7472
824	543090.4878
825	543007.883
826	542901.1696
827	542831.4584
828	542738.4116
829	542502.8552
830	542400.9074
831	542105.305
832	542020.4745
833	541961.8697
834	541867.6373
835	541584.8663
836	541539.6358
837	541453.5424
838	541165.9401
839	541030.9604
840	540975.461
841	540771.069
842	540710.9869
843	540572.1628
844	540406.0395
845	540352.4914
846	540268.4822
847	540202.5938
848	540034.0551
849	539905.9845
850	539813.5729
851	539667.7542
852	539570.0856
853	539446.277
854	539383.5723
855	539312.8315
856	539055.361
857	538937.8005
858	538849.892
859	538766.2855
860	538687.8552
861	538558.0261
862	538490.2144
863	538365.9515
864	538263.9141
865	538106.8966
866	537963.8931
867	537849.6726
868	537709.8431
869	537562.7914
870	537453.0515
871	537358.813
872	537268.4145
873	537097.7247
874	537057.0141
875	537003.9058
876	536957.6153
877	536872.38
878	536619.7112
879	536362.2205
880	536170.6627
881	536008.1347
882	535927.0324
883	535819.9912
884	535748.5258
885	535544.4847
886	535480.0568
887	535311.1449
888	535172.807
889	535101.9461
890	534926.9994
891	534786.078
892	534711.6423
893	534610.3954
894	534527.2213
895	534488.7891
896	534335.4805
897	534233.091
898	534144.3467
899	534069.3201
900	533922.2846
901	533787.6239
902	533707.9054
903	533601.2783
904	533529.3842
905	533211.0583
906	532962.2378
907	532899.8657
908	532712.7323
909	532616.7779
910	532531.0168
911	532441.6077
912	532374.4127
913	532300.1511
914	532254.6833
915	532195.1943
916	532064.5761
917	531958.7955
918	531866.0824
919	531780.1938
920	531617.3726
921	531508.8637
922	531416.3531
923	531330.2585
924	531172.4428
925	531117.358
926	530986.5189
927	530867.6918
928	530779.8533
929	530680.1166
930	530549.0748
931	530441.7994
932	530286.7223
933	530182.5357
934	529964.5407
935	529791.7363
936	529697.9103
937	529618.2454
938	529582.0715
939	529477.0911
940	529410.8469
941	529273.1195
942	529125.3571
943	529076.2228
944	528988.5125
945	528915.044
946	528754.9821
947	528690.8763
948	528586.9087
949	528453.9146
950	528387.3362
951	528296.9293
952	528225.5453
953	528158.7497
954	527959.8545
955	527740.3586
956	527639.0942
957	527537.6422
958	527442.3765
959	527052.302
960	526960.6365
961	526878.7204
962	526738.4619
963	526678.8094
964	526532.2775
965	526427.4408
966	526320.7685
967	526229.1758
968	526176.7318
969	526144.1574
970	526073.2216
971	525969.9549
972	525829.6405
973	525769.2225
974	525610.5456
975	525462.3994
976	525357.2883
977	525274.8597
978	525156.3852
979	524904.2797
980	524879.5524
981	524812.8969
982	524758.7839
983	524720.4321
984	524657.6833
985	524517.6404
986	524428.8667
987	524138.1331
988	524066.4814
989	523978.0252
990	523930.8531
991	523898.2196
992	523865.8021
993	523796.9952
994	523737.5898
995	523665.7981
996	523522.801
997	523313.9453
998	523270.7724
999	523186.5039
